new_relative_path,new_parent,new_species,match_type,classification,existing_relative_path,existing_class,existing_split,phash_distance,dhash_distance,leakage_risk
Non-Venomous/Banded Racer/03000025388_01_f.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/03000025388_01_f.jpg,Non_Venomous_Snake,TRAIN,0,0,False
Non-Venomous/Banded Racer/03000025388_01_f.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/96.jpg,Non_Venomous_Snake,TRAIN,0,0,False
Non-Venomous/Banded Racer/03000026774_01_f.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/03000026774_01_f.jpg,Non_Venomous_Snake,TRAIN,0,0,False
Non-Venomous/Banded Racer/03000026774_01_f.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/17.jpg,Non_Venomous_Snake,TRAIN,0,1,False
Non-Venomous/Banded Racer/0835.jpeg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/0835.jpg,Non_Venomous_Snake,TRAIN,0,1,False
Non-Venomous/Banded Racer/1274635783_6d04848eae.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/1274635783_6d04848eae.jpg,Non_Venomous_Snake,TRAIN,0,1,False
Non-Venomous/Banded Racer/1474639691IMG_9870.JPG,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/1474639691IMG_9870.JPG,Non_Venomous_Snake,TRAIN,0,1,False
Non-Venomous/Banded Racer/1886.jpeg,Non-Venomous,Banded Racer,NEAR,POSSIBLE_NEAR_DUPLICATE,train/Non_Venomous_Snake/1886.jpg,Non_Venomous_Snake,TRAIN,2,3,False
Non-Venomous/Banded Racer/1886.jpeg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/42.jpg,Non_Venomous_Snake,TRAIN,0,0,False
Non-Venomous/Banded Racer/1887.jpeg,Non-Venomous,Banded Racer,NEAR,POSSIBLE_NEAR_DUPLICATE,train/Non_Venomous_Snake/1887.jpg,Non_Venomous_Snake,TRAIN,2,4,False
Non-Venomous/Banded Racer/1887.jpeg,Non-Venomous,Banded Racer,NEAR,POSSIBLE_NEAR_DUPLICATE,train/Non_Venomous_Snake/54.jpg,Non_Venomous_Snake,TRAIN,4,5,False
Non-Venomous/Banded Racer/3bbddef038d00a1492014b195f259104--colorful-snakes-nerd.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/3bbddef038d00a1492014b195f259104--colorful-snakes-nerd.jpg,Non_Venomous_Snake,TRAIN,0,0,False
Non-Venomous/Banded Racer/5489314689_0dc82a6515_z.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/5489314689_0dc82a6515_z.jpg,Non_Venomous_Snake,TRAIN,0,0,False
Non-Venomous/Banded Racer/5489314689_0dc82a6515_z.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/56.jpg,Non_Venomous_Snake,TRAIN,0,0,False
Non-Venomous/Banded Racer/5489908162_098edd6fd0_z.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/5489908162_098edd6fd0_z.jpg,Non_Venomous_Snake,TRAIN,0,0,False
Non-Venomous/Banded Racer/5489908744_1c627cc25f.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/5489908744_1c627cc25f.jpg,Non_Venomous_Snake,TRAIN,2,2,False
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_b.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/12.jpg,Non_Venomous_Snake,TRAIN,0,1,False
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_b.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/9678299431_e1027b9b6c_b.jpg,Non_Venomous_Snake,TRAIN,0,0,False
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_b.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/9678299431_e1027b9b6c_m.jpg,Non_Venomous_Snake,TRAIN,0,1,False
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_m.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/12.jpg,Non_Venomous_Snake,TRAIN,0,2,False
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_m.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/9678299431_e1027b9b6c_b.jpg,Non_Venomous_Snake,TRAIN,0,1,False
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_m.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/9678299431_e1027b9b6c_m.jpg,Non_Venomous_Snake,TRAIN,0,0,False
Non-Venomous/Banded Racer/Argyrogena-fasciolata-03000032230_01.jpg,Non-Venomous,Banded Racer,NEAR,POSSIBLE_NEAR_DUPLICATE,train/Non_Venomous_Snake/26.jpg,Non_Venomous_Snake,TRAIN,4,0,False
Non-Venomous/Banded Racer/Argyrogena-fasciolata-03000032230_01.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/Argyrogena-fasciolata-03000032230_01.jpg,Non_Venomous_Snake,TRAIN,0,0,False
Non-Venomous/Banded Racer/banded racer blog.JPG,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/97.jpg,Non_Venomous_Snake,TRAIN,2,0,False
Non-Venomous/Banded Racer/banded racer blog.JPG,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/banded racer blog.JPG,Non_Venomous_Snake,TRAIN,0,0,False
Non-Venomous/Banded Racer/Banded Racer Juvenile.jpg,Non-Venomous,Banded Racer,NEAR,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Non_Venomous_Snake/Banded Racer Juvenile.jpg,Non_Venomous_Snake,TRAIN,0,0,False
