metric,value
minimum_width,125
maximum_width,6016
median_width,640
mean_width,865.55
minimum_height,125
maximum_height,5472
median_height,480
mean_height,646.838
portrait_count,229
landscape_count,1527
square_count,23
common_resolution_1300x956,45
common_resolution_1024x683,35
common_resolution_480x360,35
common_resolution_1280x720,30
common_resolution_450x320,30
common_resolution_640x447,21
common_resolution_1024x768,20
common_resolution_500x333,19
common_resolution_600x400,18
common_resolution_640x480,17
common_resolution_800x600,17
common_resolution_3648x2736,17
common_resolution_1600x1200,13
common_resolution_640x445,12
common_resolution_347x540,12
common_resolution_550x367,11
common_resolution_1920x1080,11
common_resolution_1300x960,10
common_resolution_400x300,10
common_resolution_500x375,9
