relative_path,readable,integrity_error,truncated_warning,width,height,aspect_ratio,channels_or_mode,image_format,file_size_bytes,audit_status,review_reason
Non-Venomous/Banded Racer/03000025388_01_f.jpg,True,,False,1024,683,1.499268,RGB,JPEG,161051,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/03000026774_01_f.jpg,True,,False,1024,768,1.333333,RGB,JPEG,144939,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/0835.jpeg,True,,False,432,288,1.5,RGB,JPEG,110321,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/1274635783_6d04848eae.jpg,True,,False,500,271,1.845018,RGB,JPEG,65426,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/1474639691IMG_9870.JPG,True,,False,600,400,1.5,RGB,JPEG,96084,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/1886.jpeg,True,,False,750,527,1.42315,RGB,JPEG,261756,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/1887.jpeg,True,,False,750,534,1.404494,RGB,JPEG,291893,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/3bbddef038d00a1492014b195f259104--colorful-snakes-nerd.jpg,True,,False,236,198,1.191919,RGB,JPEG,15048,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/5489314689_0dc82a6515_z.jpg,True,,False,558,434,1.285714,RGB,JPEG,119420,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/5489908162_098edd6fd0_z.jpg,True,,False,624,386,1.61658,RGB,JPEG,123044,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/5489908744_1c627cc25f.jpg,True,,False,495,480,1.03125,RGB,JPEG,128375,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_b.jpg,True,,False,1024,602,1.700997,RGB,JPEG,195140,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_m.jpg,True,,False,240,141,1.702128,RGB,JPEG,18707,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/Argyrogena-fasciolata-03000032230_01.jpg,True,,False,560,420,1.333333,RGB,JPEG,59150,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/banded racer blog.JPG,True,,False,1024,757,1.352708,RGB,JPEG,519627,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/Banded Racer Juvenile.jpg,True,,False,250,178,1.404494,RGB,JPEG,57706,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/Banded Racer.jpg,True,,False,640,338,1.893491,RGB,JPEG,43798,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/banded Racer_001.jpg,True,,False,800,535,1.495327,RGB,JPEG,129267,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/Banded Racer_1105.jpg,True,,False,1024,768,1.333333,RGB,JPEG,926678,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Banded Racer/Banded-Racer-1-700x489.jpg,True,,False,700,489,1.431493,RGB,JPEG,56231,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
