relative_path,filename,extension,parent_label,species_label,intended_model_class,width,height,channels_or_mode,file_size_bytes,sha256,perceptual_hash,dhash,readable,exact_duplicate_group,near_duplicate_group,source_group_id,existing_dataset_match,existing_split_match,label_conflict,provenance_status,audit_status,review_reason,image_format,aspect_ratio,integrity_error,truncated_warning
Non-Venomous/Banded Racer/03000025388_01_f.jpg,03000025388_01_f.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,1024,683,RGB,161051,18f53ddf7fc90c998bbb4f80e4f3668070ee6897317c6013765b726c4f56fcd1,9e017f126d6204ff,6dd9f4923cf41c33,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.499268,,False
Non-Venomous/Banded Racer/03000026774_01_f.jpg,03000026774_01_f.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,1024,768,RGB,144939,e5161c2dca06011d135260fb79edd2d83256a75d6d910f74b73b1caa21209e00,84c47917719b61eb,a8a4e2e2ec6c6992,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.333333,,False
Non-Venomous/Banded Racer/0835.jpeg,0835.jpeg,.jpeg,Non-Venomous,Banded Racer,Non_Venomous_Snake,432,288,RGB,110321,fbb263175c553cf2c3c3787fb183b8d30e2dd392d3637b05b9c2d594e7b6c524,b94f924b946e8713,581a5e221a9bbb9c,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.5,,False
Non-Venomous/Banded Racer/1274635783_6d04848eae.jpg,1274635783_6d04848eae.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,500,271,RGB,65426,22570158a74fa87acad401fd0681d2c329035aa1a43ff60aded1e58b23bffff5,c4c33d3c32934d67,9ce2c0c8e4b4a48a,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.845018,,False
Non-Venomous/Banded Racer/1474639691IMG_9870.JPG,1474639691IMG_9870.JPG,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,600,400,RGB,96084,3ad3949ebf40080d4dcd9fc962fb1d6d977bf476e161f1daccbb25b319551969,a65936622cd57bc4,24367abaa74de4ae,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.5,,False
Non-Venomous/Banded Racer/1886.jpeg,1886.jpeg,.jpeg,Non-Venomous,Banded Racer,Non_Venomous_Snake,750,527,RGB,261756,232f4ccbf91895c5d7d49b8959a2a4d69d39b77e4c05608b071e09972617b73d,c41d7aa7635c163a,e7f0b0c6cce49545,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.42315,,False
Non-Venomous/Banded Racer/1887.jpeg,1887.jpeg,.jpeg,Non-Venomous,Banded Racer,Non_Venomous_Snake,750,534,RGB,291893,0f14727bd6fb0f64d577b1c8fb3b6f7286a9bc8469b4f09503996feecf3055ad,d6c36c963b8e4cb0,6dc4e1499ca4ac32,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.404494,,False
Non-Venomous/Banded Racer/3bbddef038d00a1492014b195f259104--colorful-snakes-nerd.jpg,3bbddef038d00a1492014b195f259104--colorful-snakes-nerd.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,236,198,RGB,15048,ca45f106ba47d92d6a3ef945f99101fc234bb8efa8ac6af8681422710db84678,87cb49ade489643e,f3c9ddc46e46d98c,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.191919,,False
Non-Venomous/Banded Racer/5489314689_0dc82a6515_z.jpg,5489314689_0dc82a6515_z.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,558,434,RGB,119420,1025f0a34a17f17c9181130a0c6dc383b34b279103d03e741b73b299b8a7d525,eccb879c914ec728,658707159b26270d,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.285714,,False
Non-Venomous/Banded Racer/5489908162_098edd6fd0_z.jpg,5489908162_098edd6fd0_z.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,624,386,RGB,123044,e4217c8d1602c608542175d1e21aad4f5446b78006a3f35a01da0f44835bf25e,fccf813787942c68,64313154133739ce,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.61658,,False
Non-Venomous/Banded Racer/5489908744_1c627cc25f.jpg,5489908744_1c627cc25f.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,495,480,RGB,128375,a9c24011d20038cf46ed90a4200b0365d1dad38193dc1750d420177b1a9d931a,b7708f27d8991923,4a0d199c0e2e6e3b,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.03125,,False
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_b.jpg,9678299431_e1027b9b6c_b.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,1024,602,RGB,195140,7479046aa97f040784bad3d294d4c248c5500f0de2e658773996b43571568555,dc312fc438fa2fc0,50651339b4e08133,True,,NEAR0001,NEAR0001,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,perceptual near-duplicate candidate within new dataset,JPEG,1.700997,,False
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_m.jpg,9678299431_e1027b9b6c_m.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,240,141,RGB,18707,16f349146f37cc4fec820d70aa44a78eeb27fa8df9062c7a87974133d167fb67,dc312fc438fa2fc0,50651339b4e09133,True,,NEAR0001,NEAR0001,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,perceptual near-duplicate candidate within new dataset,JPEG,1.702128,,False
Non-Venomous/Banded Racer/Argyrogena-fasciolata-03000032230_01.jpg,Argyrogena-fasciolata-03000032230_01.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,560,420,RGB,59150,ffa74a6af9aa7c986dd85e8bfcca444afa9f6b0a910c16d485d1f625bd74c352,943b196c43c66fa3,b61a4de54db6a4f4,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.333333,,False
Non-Venomous/Banded Racer/banded racer blog.JPG,banded racer blog.JPG,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,1024,757,RGB,519627,e9c35405f862fcdb76d537cb5c5fed8d05f950b65b7003445af9569062be46ed,d5c557803e828aef,c28a43b536b2d856,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.352708,,False
Non-Venomous/Banded Racer/Banded Racer Juvenile.jpg,Banded Racer Juvenile.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,250,178,RGB,57706,aa7643da3288e1001b9626f641819f5f5db03158108b7be482a2526d500bc78e,ad15d2f69dc86146,b06dd7b6260f65d2,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.404494,,False
Non-Venomous/Banded Racer/Banded Racer.jpg,Banded Racer.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,640,338,RGB,43798,927390d322cafb88be3b8eef34ad032838777d6973b6ae0d7961cd5d4f4c99ed,fbe2909aa530be45,c9494d4e633998d2,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.893491,,False
Non-Venomous/Banded Racer/banded Racer_001.jpg,banded Racer_001.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,800,535,RGB,129267,29e6b4fb13bbc7961258c79f77c60be50258f500ee35c08d9fb14a9c4abff374,e924832df2d96636,e2c60c1a2e56d3db,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.495327,,False
