review_id,new_image,suspected_match,review_type,frozen_test_involved,sha256_match,phash_distance,dhash_distance,ahash_distance,ssim_score,pixel_similarity_score,dimension_similarity,edge_similarity,color_histogram_correlation,orb_ratio_matches,orb_ransac_inliers,orb_inlier_ratio,other_evidence,final_auto_decision,decision_confidence,decision_reason
REVIEW_0001,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Banded Racer\1274635783_6d04848eae.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\1274635783_6d04848eae.jpg,DUPLICATE_REVIEW,NO,False,0,1,0,0.996181,0.99914,0.6775,0.976388,0.999821,18,12,0.666667,aspect_similarity=0.542000; area_similarity=0.846875; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0002,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Banded Racer\9678299431_e1027b9b6c_b.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\9678299431_e1027b9b6c_b.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.997221,0.999755,0.390625,0.986442,0.999379,19,10,0.526316,aspect_similarity=0.587891; area_similarity=0.259551; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0003,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Banded Racer\Banded Racer Juvenile.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\Banded Racer Juvenile.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.997165,0.999393,0.445,0.972092,0.999823,61,40,0.655738,aspect_similarity=0.712000; area_similarity=0.278125; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; strong crop/watermark-compatible feature and color/structure evidence; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0004,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Banded Racer\Banded Racer.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\50.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.979268,0.996669,0.625,0.973408,0.995493,10,7,0.7,aspect_similarity=0.528125; area_similarity=0.739645; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0007,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\2.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\2.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.997694,0.999908,0.416667,0.985364,0.998736,26,15,0.576923,aspect_similarity=0.573958; area_similarity=0.302480; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; strong crop/watermark-compatible feature and color/structure evidence; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0008,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\24897900911_7d2ee1ecff_b.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\validation\Non_Venomous_Snake\24897900911_7d2ee1ecff_b.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.994425,0.998659,0.390625,0.971541,0.999923,24,15,0.625,aspect_similarity=0.572266; area_similarity=0.266638; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; strong crop/watermark-compatible feature and color/structure evidence; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0009,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\350_e_s_500.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\350_e_s_500.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.995664,0.998921,0.267917,0.966175,0.999714,10,7,0.7,aspect_similarity=0.665104; area_similarity=0.107922; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0010,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\491121-checkered-keeeled-back.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\491121-checkered-keeeled-back.jpg,DUPLICATE_REVIEW,NO,False,0,0,1,0.998942,0.999763,0.122511,0.99197,0.998653,3,0,0.0,aspect_similarity=0.750077; area_similarity=0.020010; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0011,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\6.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\6.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.995476,0.999732,0.416667,0.974239,0.999866,9,7,0.777778,aspect_similarity=0.473958; area_similarity=0.366300; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0012,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\9181975166_5a8900bcb4_b.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\9181975166_5a8900bcb4_b.jpg,DUPLICATE_REVIEW,NO,False,2,0,1,0.993673,0.998835,0.390625,0.995392,0.990615,10,5,0.5,aspect_similarity=0.562500; area_similarity=0.271267; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
