review_id,image_path,species,parent_class,review_type,suspected_match_path,suspected_match_split,frozen_test_involved,similarity_summary,contact_sheet_path,human_decision,human_notes,final_recommended_status
REVIEW_0001,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Banded Racer\1274635783_6d04848eae.jpg,Banded Racer,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/1274635783_6d04848eae.jpg,TRAIN,NO,pHash=0; dHash=1; aHash=0; aspect_delta=0.4580; pixel_corr=0.9991; SSIM=0.9962; hist_corr=0.9998; ORB_good=15; ORB_inliers=9; ORB_inlier_ratio=0.6000,contact_sheets/duplicate_review/review_0001_duplicate_review.png,,,
REVIEW_0002,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Banded Racer\9678299431_e1027b9b6c_b.jpg,Banded Racer,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/9678299431_e1027b9b6c_b.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.4121; pixel_corr=0.9998; SSIM=0.9972; hist_corr=0.9994; ORB_good=14; ORB_inliers=8; ORB_inlier_ratio=0.5714,contact_sheets/duplicate_review/review_0002_duplicate_review.png,,,
REVIEW_0003,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Banded Racer\Banded Racer Juvenile.jpg,Banded Racer,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/Banded Racer Juvenile.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.2880; pixel_corr=0.9994; SSIM=0.9972; hist_corr=0.9998; ORB_good=56; ORB_inliers=30; ORB_inlier_ratio=0.5357,contact_sheets/duplicate_review/review_0003_duplicate_review.png,,,
REVIEW_0004,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Banded Racer\Banded Racer.jpg,Banded Racer,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/50.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.4719; pixel_corr=0.9967; SSIM=0.9793; hist_corr=0.9955; ORB_good=10; ORB_inliers=6; ORB_inlier_ratio=0.6000,contact_sheets/duplicate_review/review_0004_duplicate_review.png,,,
REVIEW_0005,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Banded Racer\banded-racer-argyrogena-fasciolata-non-venomous-not-common-kalbeliya-AT2BHP.jpg,Banded Racer,Non-Venomous,FROZEN_TEST_REVIEW,test/Non_Venomous_Snake/banded-racer-argyrogena-fasciolata-non-venomous-not-common-kalbeliya-AT2BHP.jpg,TEST,YES,pHash=2; dHash=0; aHash=0; aspect_delta=0.3950; pixel_corr=0.9997; SSIM=0.9982; hist_corr=0.9997; ORB_good=19; ORB_inliers=16; ORB_inlier_ratio=0.8421,contact_sheets/frozen_test_review/review_0005_frozen_test_review.png,,,
REVIEW_0006,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Banded Racer\medium.JPG,Banded Racer,Non-Venomous,FROZEN_TEST_REVIEW,test/Non_Venomous_Snake/medium.JPG,TEST,YES,pHash=0; dHash=0; aHash=0; aspect_delta=0.4340; pixel_corr=0.9995; SSIM=0.9983; hist_corr=0.9982; ORB_good=17; ORB_inliers=9; ORB_inlier_ratio=0.5294,contact_sheets/frozen_test_review/review_0006_frozen_test_review.png,,,
REVIEW_0007,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\2.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/2.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.4260; pixel_corr=0.9999; SSIM=0.9977; hist_corr=0.9987; ORB_good=20; ORB_inliers=11; ORB_inlier_ratio=0.5500,contact_sheets/duplicate_review/review_0007_duplicate_review.png,,,
REVIEW_0008,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\24897900911_7d2ee1ecff_b.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,validation/Non_Venomous_Snake/24897900911_7d2ee1ecff_b.jpg,VALIDATION,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.4277; pixel_corr=0.9987; SSIM=0.9944; hist_corr=0.9999; ORB_good=22; ORB_inliers=10; ORB_inlier_ratio=0.4545,contact_sheets/duplicate_review/review_0008_duplicate_review.png,,,
REVIEW_0009,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\350_e_s_500.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/350_e_s_500.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.3349; pixel_corr=0.9989; SSIM=0.9957; hist_corr=0.9997; ORB_good=11; ORB_inliers=8; ORB_inlier_ratio=0.7273,contact_sheets/duplicate_review/review_0009_duplicate_review.png,,,
REVIEW_0010,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\491121-checkered-keeeled-back.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/491121-checkered-keeeled-back.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=1; aspect_delta=0.2499; pixel_corr=0.9998; SSIM=0.9989; hist_corr=0.9987; ORB_good=2; ORB_inliers=0; ORB_inlier_ratio=0.0000,contact_sheets/duplicate_review/review_0010_duplicate_review.png,,,
