relative_path,filename,parent_label,species_label,sha256,width,height,exact_duplicate_group,near_duplicate_group,source_group,exact_existing_match,strict_existing_classification,frozen_test_leakage_status,species_label_conflict,provenance_status,license_status,technical_filter_survivor,resolution_status,reason
Non-Venomous/Banded Racer/03000025388_01_f.jpg,03000025388_01_f.jpg,Non-Venomous,Banded Racer,18f53ddf7fc90c998bbb4f80e4f3668070ee6897317c6013765b726c4f56fcd1,1024,683,,,,False,CONFIRMED_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,False,EXCLUDE_CONFIRMED_NEAR_DUPLICATE,Confirmed by multiple independent similarity signals
Non-Venomous/Banded Racer/03000026774_01_f.jpg,03000026774_01_f.jpg,Non-Venomous,Banded Racer,e5161c2dca06011d135260fb79edd2d83256a75d6d910f74b73b1caa21209e00,1024,768,,,,False,CONFIRMED_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,False,EXCLUDE_CONFIRMED_NEAR_DUPLICATE,Confirmed by multiple independent similarity signals
Non-Venomous/Banded Racer/0835.jpeg,0835.jpeg,Non-Venomous,Banded Racer,fbb263175c553cf2c3c3787fb183b8d30e2dd392d3637b05b9c2d594e7b6c524,432,288,,,,False,CONFIRMED_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,False,EXCLUDE_CONFIRMED_NEAR_DUPLICATE,Confirmed by multiple independent similarity signals
Non-Venomous/Banded Racer/1274635783_6d04848eae.jpg,1274635783_6d04848eae.jpg,Non-Venomous,Banded Racer,22570158a74fa87acad401fd0681d2c329035aa1a43ff60aded1e58b23bffff5,500,271,,,,False,LIKELY_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LIKELY_NEAR_DUPLICATE,Likely near-duplicate requires human decision
Non-Venomous/Banded Racer/1474639691IMG_9870.JPG,1474639691IMG_9870.JPG,Non-Venomous,Banded Racer,3ad3949ebf40080d4dcd9fc962fb1d6d977bf476e161f1daccbb25b319551969,600,400,,,,False,CONFIRMED_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,False,EXCLUDE_CONFIRMED_NEAR_DUPLICATE,Confirmed by multiple independent similarity signals
Non-Venomous/Banded Racer/1886.jpeg,1886.jpeg,Non-Venomous,Banded Racer,232f4ccbf91895c5d7d49b8959a2a4d69d39b77e4c05608b071e09972617b73d,750,527,,,,False,CONFIRMED_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,False,EXCLUDE_CONFIRMED_NEAR_DUPLICATE,Confirmed by multiple independent similarity signals
Non-Venomous/Banded Racer/1887.jpeg,1887.jpeg,Non-Venomous,Banded Racer,0f14727bd6fb0f64d577b1c8fb3b6f7286a9bc8469b4f09503996feecf3055ad,750,534,,,,False,CONFIRMED_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,False,EXCLUDE_CONFIRMED_NEAR_DUPLICATE,Confirmed by multiple independent similarity signals
Non-Venomous/Banded Racer/3bbddef038d00a1492014b195f259104--colorful-snakes-nerd.jpg,3bbddef038d00a1492014b195f259104--colorful-snakes-nerd.jpg,Non-Venomous,Banded Racer,ca45f106ba47d92d6a3ef945f99101fc234bb8efa8ac6af8681422710db84678,236,198,,,,False,CONFIRMED_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,False,EXCLUDE_CONFIRMED_NEAR_DUPLICATE,Confirmed by multiple independent similarity signals
Non-Venomous/Banded Racer/5489314689_0dc82a6515_z.jpg,5489314689_0dc82a6515_z.jpg,Non-Venomous,Banded Racer,1025f0a34a17f17c9181130a0c6dc383b34b279103d03e741b73b299b8a7d525,558,434,,,,False,CONFIRMED_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,False,EXCLUDE_CONFIRMED_NEAR_DUPLICATE,Confirmed by multiple independent similarity signals
Non-Venomous/Banded Racer/5489908162_098edd6fd0_z.jpg,5489908162_098edd6fd0_z.jpg,Non-Venomous,Banded Racer,e4217c8d1602c608542175d1e21aad4f5446b78006a3f35a01da0f44835bf25e,624,386,,,,False,CONFIRMED_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,False,EXCLUDE_CONFIRMED_NEAR_DUPLICATE,Confirmed by multiple independent similarity signals
Non-Venomous/Banded Racer/5489908744_1c627cc25f.jpg,5489908744_1c627cc25f.jpg,Non-Venomous,Banded Racer,a9c24011d20038cf46ed90a4200b0365d1dad38193dc1750d420177b1a9d931a,495,480,,,,False,CONFIRMED_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,False,EXCLUDE_CONFIRMED_NEAR_DUPLICATE,Confirmed by multiple independent similarity signals
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_b.jpg,9678299431_e1027b9b6c_b.jpg,Non-Venomous,Banded Racer,7479046aa97f040784bad3d294d4c248c5500f0de2e658773996b43571568555,1024,602,,NEAR0001,SOURCE_GROUP_0001,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
