new_image,matched_image,match_location,sha256,directory_label,species,resolution,reason
Venomous/Saw-scaled Viper/IMG_4386-2.jpg,Venomous/Russell's Viper/IMG_4386-2.jpg,NEW_SNAKE_DATASET,83ea1a4f9ec9d76f6342af190a5eefb778677eef86d34c87d47bc5dcab13d0b4,Venomous,Saw-scaled Viper,EXACT_DUPLICATE_EXCLUDE,"Non-canonical member of EXACT0001; canonical selected by resolution, file size, then path"
Venomous/Saw-scaled Viper/5207091.jpg,Venomous/Russell's Viper/5207091.jpg,NEW_SNAKE_DATASET,aa4fadd34a852ce132cb2ac14f72df1c879d49f649b6993d522db087e83c573d,Venomous,Saw-scaled Viper,EXACT_DUPLICATE_EXCLUDE,"Non-canonical member of EXACT0002; canonical selected by resolution, file size, then path"
Venomous/Saw-scaled Viper/5384096c1c063.jpg,Venomous/Russell's Viper/5384096c1c063.jpg,NEW_SNAKE_DATASET,d0c904680f55d010f3be3bf2802dbf20ba200e95a5c499f92df0de0e5fb717ec,Venomous,Saw-scaled Viper,EXACT_DUPLICATE_EXCLUDE,"Non-canonical member of EXACT0003; canonical selected by resolution, file size, then path"
Venomous/Saw-scaled Viper/5384077d7fe23.jpg,Venomous/Russell's Viper/5384077d7fe23.jpg,NEW_SNAKE_DATASET,ebc69a87faca1b76babeada644dbba7d1d4ae78d9d9a1fd1f70b4b04dabfd179,Venomous,Saw-scaled Viper,EXACT_DUPLICATE_EXCLUDE,"Non-canonical member of EXACT0004; canonical selected by resolution, file size, then path"
Venomous/Common Krait/wolf.jpg,validation/Venomous_Snake/wolf.jpg,clean_dataset/VALIDATION,9dd5ee56664d211836f39f722933b192ce937b66a02fd9ec3e59c3471cd76bd1,Venomous,Common Krait,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/King Cobra/_85349739_hi000324519.jpg,train/Venomous_Snake/_85349739_hi000324519.jpg,clean_dataset/TRAIN,843a81a4ea447354a1dc2ed4d38557d857e1b2e03e83b6091e4c7740a5307588,Venomous,King Cobra,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/King Cobra/Z7850200-King_Cobra-SPL.jpg,train/Venomous_Snake/Z7850200-King_Cobra-SPL.jpg,clean_dataset/TRAIN,64ce404779ad5329f832e9e70cff7d8009a2bc76237fd788e5f75fd0874232d9,Venomous,King Cobra,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/King Cobra/ZNKH1t.jpg,train/Venomous_Snake/ZNKH1t.jpg,clean_dataset/TRAIN,759ae8d42bc43ff0836bb7a60ef12babf7ff231280c3639ad323b7b237534d37,Venomous,King Cobra,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/Russell's Viper/Viper1.jpg,validation/Venomous_Snake/Viper1.jpg,clean_dataset/VALIDATION,dfed48913a9bb263445a216d3365fc32d12d9f1bccf10118960c7b2255700f9b,Venomous,Russell's Viper,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/Russell's Viper/viper_1901250f.jpg,train/Venomous_Snake/viper_1901250f.jpg,clean_dataset/TRAIN,32dda6a636f02e72c00c1a1589678dba0cc9a2b17d96b86688535b54acf7d5d6,Venomous,Russell's Viper,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/Saw-scaled Viper/viper7l.JPG,train/Venomous_Snake/viper7l.JPG,clean_dataset/TRAIN,8b7ee50db6f326b807853d1130903c7a50b11e17911a1d40924ddfce38b4b77e,Venomous,Saw-scaled Viper,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/Saw-scaled Viper/viper8l.JPG,train/Venomous_Snake/viper8l.JPG,clean_dataset/TRAIN,c9ec58676865e66c1e96d82135e6b9dde63156d24c96265ce7e97f4201044382,Venomous,Saw-scaled Viper,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/Saw-scaled Viper/young-saw-scaled-viper-echis-carinatus-tamil-nadu-south-india-epd0j4.jpg,train/Venomous_Snake/young-saw-scaled-viper-echis-carinatus-tamil-nadu-south-india-epd0j4.jpg,clean_dataset/TRAIN,5e481a324159ba483c6866962f8825046f5c3cb55063579f5785b507a787e9dc,Venomous,Saw-scaled Viper,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/Saw-scaled Viper/z_mag-p-23-Sawing.jpg,train/Venomous_Snake/z_mag-p-23-Sawing.jpg,clean_dataset/TRAIN,a847391e8bb8e3c8a79b2f799b071fec0e5a90a2d678813ef403ce062b8bdf48,Venomous,Saw-scaled Viper,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/Spectacled Cobra/Amazing pictures animals photos Nature exotic incredible funny Zoo danger pics Indian cobra Naja naja Asian cobra spectacled cobra 7.jpeg,train/Venomous_Snake/Amazing pictures animals photos Nature exotic incredible funny Zoo danger pics Indian cobra Naja naja Asian cobra spectacled cobra 7.jpeg,clean_dataset/TRAIN,18ab911364caac1ec20b0e2d944ec5fdb6be5c8f70ea6b57a3ef4a7a4b20c349,Venomous,Spectacled Cobra,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/Spectacled Cobra/naja1-e1480951267722.png,train/Venomous_Snake/naja1-e1480951267722.png,clean_dataset/TRAIN,2b31307cbd47c2f28b0ea71537af94efef279fab04e275b730909bf49a214b46,Venomous,Spectacled Cobra,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/Spectacled Cobra/Najacobra.jpeg.jpeg,train/Venomous_Snake/Najacobra.jpeg.jpeg,clean_dataset/TRAIN,84c95df709a2486501f7b9a31c29745950247780452bc4a13ec97f8baee03b78,Venomous,Spectacled Cobra,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
Venomous/Spectacled Cobra/Young-Indian-cobra.jpg,train/Venomous_Snake/Young-Indian-cobra.jpg,clean_dataset/TRAIN,1d831700c4e945314b67a51b1b1146797b63d6f3bfc7b29d92fcb1ccce033615,Venomous,Spectacled Cobra,EXACT_DUPLICATE_EXCLUDE,Byte-identical to controlled existing image
