image_path,relative_path,filename,parent_class,species,sha256,width,height,repository_source,repository_provenance,repository_license,individual_image_rights,training_reuse_rights,exact_duplicate,exact_duplicate_match,near_duplicate_status,near_duplicate_match,near_duplicate_score,frozen_test_leakage_status,frozen_test_match,label_status,quality_status,technical_status,manual_review_required,exclusion_reason,notes
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Monocled Cobra\3f7b41317b2248121c9fa4fbbff48074--cobra-snake-slytherin.jpg,Venomous/Monocled Cobra/3f7b41317b2248121c9fa4fbbff48074--cobra-snake-slytherin.jpg,3f7b41317b2248121c9fa4fbbff48074--cobra-snake-slytherin.jpg,Venomous,Monocled Cobra,f76711d46a5ab5fb276cece0f9f1bf742bcf27415818427f4e62e64ac37217eb,236,326,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,HIGH_CONFIDENCE_NEAR_DUPLICATE,test/Venomous_Snake/3f7b41317b2248121c9fa4fbbff48074--cobra-snake-slytherin.jpg | Venomous/Spectacled Cobra/tumblr_o07hjtgxd71r6bovho1_500.jpg,0.998514,CONFIRMED_TEST_LEAKAGE,test/Venomous_Snake/3f7b41317b2248121c9fa4fbbff48074--cobra-snake-slytherin.jpg,LABEL_REVIEW_REQUIRED,BASIC_QUALITY_PASS,FROZEN_TEST_LEAKAGE_EXCLUDE,False,Confirmed derivative/match of a frozen-test image,Confirmed derivative/match of a frozen-test image; technical status does not establish training/reuse rights
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Russell's Viper\5207091.jpg,Venomous/Russell's Viper/5207091.jpg,5207091.jpg,Venomous,Russell's Viper,aa4fadd34a852ce132cb2ac14f72df1c879d49f649b6993d522db087e83c573d,250,218,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,HIGH_CONFIDENCE_NEAR_DUPLICATE,test/Venomous_Snake/5207091.jpg,0.997997,CONFIRMED_TEST_LEAKAGE,test/Venomous_Snake/5207091.jpg,LABEL_REVIEW_REQUIRED,BASIC_QUALITY_PASS,FROZEN_TEST_LEAKAGE_EXCLUDE,False,Confirmed derivative/match of a frozen-test image,Confirmed derivative/match of a frozen-test image; technical status does not establish training/reuse rights
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Russell's Viper\5384077d7fe23.jpg,Venomous/Russell's Viper/5384077d7fe23.jpg,5384077d7fe23.jpg,Venomous,Russell's Viper,ebc69a87faca1b76babeada644dbba7d1d4ae78d9d9a1fd1f70b4b04dabfd179,439,207,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,POSSIBLE_NEAR_DUPLICATE,test/Venomous_Snake/5384077d7fe23.jpg,0.997638,POSSIBLE_TEST_LEAKAGE,test/Venomous_Snake/5384077d7fe23.jpg,LABEL_REVIEW_REQUIRED,BASIC_QUALITY_PASS,LABEL_REVIEW_REQUIRED,True,,Identical/near-identical imagery occurs in different species directories; technical status does not establish training/reuse rights
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Russell's Viper\5384096c1c063.jpg,Venomous/Russell's Viper/5384096c1c063.jpg,5384096c1c063.jpg,Venomous,Russell's Viper,d0c904680f55d010f3be3bf2802dbf20ba200e95a5c499f92df0de0e5fb717ec,361,299,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,HIGH_CONFIDENCE_NEAR_DUPLICATE,test/Venomous_Snake/5384096c1c063.jpg,0.998379,CONFIRMED_TEST_LEAKAGE,test/Venomous_Snake/5384096c1c063.jpg,LABEL_REVIEW_REQUIRED,BASIC_QUALITY_PASS,FROZEN_TEST_LEAKAGE_EXCLUDE,False,Confirmed derivative/match of a frozen-test image,Confirmed derivative/match of a frozen-test image; technical status does not establish training/reuse rights
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Russell's Viper\IMG_4386-2.jpg,Venomous/Russell's Viper/IMG_4386-2.jpg,IMG_4386-2.jpg,Venomous,Russell's Viper,83ea1a4f9ec9d76f6342af190a5eefb778677eef86d34c87d47bc5dcab13d0b4,3267,2265,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,POSSIBLE_NEAR_DUPLICATE,train/Venomous_Snake/IMG_4386-2 (2).jpg,0.995724,NOT_TEST_LEAKAGE,,LABEL_REVIEW_REQUIRED,BASIC_QUALITY_PASS,LABEL_REVIEW_REQUIRED,True,,Identical/near-identical imagery occurs in different species directories; technical status does not establish training/reuse rights
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Russell's Viper\Russel Viper 04.jpg,Venomous/Russell's Viper/Russel Viper 04.jpg,Russel Viper 04.jpg,Venomous,Russell's Viper,945d76735645db10e49a50eac28860a56c6b29be61cb04adf6e470b9dee39146,425,284,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Venomous_Snake/Russel Viper 04.jpg | Venomous/Saw-scaled Viper/Saw-Scaled-Viper_008.jpg,0.996532,NOT_TEST_LEAKAGE,,LABEL_REVIEW_REQUIRED,BASIC_QUALITY_PASS,NEAR_DUPLICATE_EXCLUDE,False,Multiple independent signals confirm essentially the same underlying image,Multiple independent signals confirm essentially the same underlying image; technical status does not establish training/reuse rights
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Saw-scaled Viper\5207091.jpg,Venomous/Saw-scaled Viper/5207091.jpg,5207091.jpg,Venomous,Saw-scaled Viper,aa4fadd34a852ce132cb2ac14f72df1c879d49f649b6993d522db087e83c573d,250,218,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,True,Venomous/Russell's Viper/5207091.jpg,HIGH_CONFIDENCE_NEAR_DUPLICATE,test/Venomous_Snake/5207091.jpg,0.997997,CONFIRMED_TEST_LEAKAGE,test/Venomous_Snake/5207091.jpg,LABEL_REVIEW_REQUIRED,BASIC_QUALITY_PASS,FROZEN_TEST_LEAKAGE_EXCLUDE,False,Confirmed derivative/match of a frozen-test image,Confirmed derivative/match of a frozen-test image; technical status does not establish training/reuse rights
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Saw-scaled Viper\5384077d7fe23.jpg,Venomous/Saw-scaled Viper/5384077d7fe23.jpg,5384077d7fe23.jpg,Venomous,Saw-scaled Viper,ebc69a87faca1b76babeada644dbba7d1d4ae78d9d9a1fd1f70b4b04dabfd179,439,207,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,True,Venomous/Russell's Viper/5384077d7fe23.jpg,POSSIBLE_NEAR_DUPLICATE,test/Venomous_Snake/5384077d7fe23.jpg,0.997638,POSSIBLE_TEST_LEAKAGE,test/Venomous_Snake/5384077d7fe23.jpg,LABEL_REVIEW_REQUIRED,BASIC_QUALITY_PASS,EXACT_DUPLICATE_EXCLUDE,False,Exact duplicate within new data or against existing controlled data,Exact duplicate within new data or against existing controlled data; technical status does not establish training/reuse rights
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Saw-scaled Viper\5384096c1c063.jpg,Venomous/Saw-scaled Viper/5384096c1c063.jpg,5384096c1c063.jpg,Venomous,Saw-scaled Viper,d0c904680f55d010f3be3bf2802dbf20ba200e95a5c499f92df0de0e5fb717ec,361,299,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,True,Venomous/Russell's Viper/5384096c1c063.jpg,HIGH_CONFIDENCE_NEAR_DUPLICATE,test/Venomous_Snake/5384096c1c063.jpg,0.998379,CONFIRMED_TEST_LEAKAGE,test/Venomous_Snake/5384096c1c063.jpg,LABEL_REVIEW_REQUIRED,BASIC_QUALITY_PASS,FROZEN_TEST_LEAKAGE_EXCLUDE,False,Confirmed derivative/match of a frozen-test image,Confirmed derivative/match of a frozen-test image; technical status does not establish training/reuse rights
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Saw-scaled Viper\IMG_4386-2.jpg,Venomous/Saw-scaled Viper/IMG_4386-2.jpg,IMG_4386-2.jpg,Venomous,Saw-scaled Viper,83ea1a4f9ec9d76f6342af190a5eefb778677eef86d34c87d47bc5dcab13d0b4,3267,2265,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,True,Venomous/Russell's Viper/IMG_4386-2.jpg,POSSIBLE_NEAR_DUPLICATE,train/Venomous_Snake/IMG_4386-2 (2).jpg,0.995724,NOT_TEST_LEAKAGE,,LABEL_REVIEW_REQUIRED,BASIC_QUALITY_PASS,EXACT_DUPLICATE_EXCLUDE,False,Exact duplicate within new data or against existing controlled data,Exact duplicate within new data or against existing controlled data; technical status does not establish training/reuse rights
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Saw-scaled Viper\Saw-Scaled-Viper_008.jpg,Venomous/Saw-scaled Viper/Saw-Scaled-Viper_008.jpg,Saw-Scaled-Viper_008.jpg,Venomous,Saw-scaled Viper,e06bff95a3904143031bf41320df66d65f6de4e50d5a703735211731832a910e,425,284,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,HIGH_CONFIDENCE_NEAR_DUPLICATE,train/Venomous_Snake/Russel Viper 04.jpg,0.996532,NOT_TEST_LEAKAGE,,LABEL_REVIEW_REQUIRED,BASIC_QUALITY_PASS,NEAR_DUPLICATE_EXCLUDE,False,Multiple independent signals confirm essentially the same underlying image,Multiple independent signals confirm essentially the same underlying image; technical status does not establish training/reuse rights
C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Venomous\Spectacled Cobra\tumblr_o07hjtgxd71r6bovho1_500.jpg,Venomous/Spectacled Cobra/tumblr_o07hjtgxd71r6bovho1_500.jpg,tumblr_o07hjtgxd71r6bovho1_500.jpg,Venomous,Spectacled Cobra,92c6b9afbb541627b8385d30127e296d140639782527b089f9cfd6d139980e80,500,692,https://github.com/arjun921/Indian-Snakes-Dataset,VERIFIED,MIT,UNCLEAR,REVIEW_REQUIRED,False,,HIGH_CONFIDENCE_NEAR_DUPLICATE,test/Venomous_Snake/3f7b41317b2248121c9fa4fbbff48074--cobra-snake-slytherin.jpg,0.997005,CONFIRMED_TEST_LEAKAGE,test/Venomous_Snake/3f7b41317b2248121c9fa4fbbff48074--cobra-snake-slytherin.jpg,LABEL_REVIEW_REQUIRED,BASIC_QUALITY_PASS,FROZEN_TEST_LEAKAGE_EXCLUDE,False,Confirmed derivative/match of a frozen-test image,Confirmed derivative/match of a frozen-test image; technical status does not establish training/reuse rights
