relative_path,filename,parent_label,species_label,sha256,width,height,exact_duplicate_group,near_duplicate_group,source_group,exact_existing_match,strict_existing_classification,frozen_test_leakage_status,species_label_conflict,provenance_status,license_status,technical_filter_survivor,resolution_status,reason
Non-Venomous/Banded Racer/1274635783_6d04848eae.jpg,1274635783_6d04848eae.jpg,Non-Venomous,Banded Racer,22570158a74fa87acad401fd0681d2c329035aa1a43ff60aded1e58b23bffff5,500,271,,,,False,LIKELY_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LIKELY_NEAR_DUPLICATE,Likely near-duplicate requires human decision
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_b.jpg,9678299431_e1027b9b6c_b.jpg,Non-Venomous,Banded Racer,7479046aa97f040784bad3d294d4c248c5500f0de2e658773996b43571568555,1024,602,,NEAR0001,SOURCE_GROUP_0001,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Banded Racer/Banded Racer Juvenile.jpg,Banded Racer Juvenile.jpg,Non-Venomous,Banded Racer,aa7643da3288e1001b9626f641819f5f5db03158108b7be482a2526d500bc78e,250,178,,,,False,LIKELY_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LIKELY_NEAR_DUPLICATE,Likely near-duplicate requires human decision
Non-Venomous/Banded Racer/Banded Racer.jpg,Banded Racer.jpg,Non-Venomous,Banded Racer,927390d322cafb88be3b8eef34ad032838777d6973b6ae0d7961cd5d4f4c99ed,640,338,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Banded Racer/snake.JPG,snake.JPG,Non-Venomous,Banded Racer,ca5836096e419b5ccebfa0aa51da86ede858e5ac42f6a22e9914b1e94546fae2,1600,987,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Banded Racer/wildclicks.jpg,wildclicks.jpg,Non-Venomous,Banded Racer,0d37a30940448166f5defd42cd5b9d4a9e895c04c05b7fd646c613c989f3a56c,620,407,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/03.jpg,03.jpg,Non-Venomous,Checkered Keelback,8f69826f9b701e7647172d55b60050326a3b01d62f5a9f6406b3cd9f049ad0fa,640,432,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/14587184738_dc5b7b3054_b.jpg,14587184738_dc5b7b3054_b.jpg,Non-Venomous,Checkered Keelback,7c845fe9f2de9977afd3b5e0473106629130e2d1c7a6e6df6ae45fa7bd47017c,1024,683,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/1474640693Checkered Keelback ( Samanya dhoria sanp).JPG,1474640693Checkered Keelback ( Samanya dhoria sanp).JPG,Non-Venomous,Checkered Keelback,eb781c82081c282b59871b13ae8453ed6c8099954670bc86e9350c2ae65d6a36,600,397,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/2.jpg,2.jpg,Non-Venomous,Checkered Keelback,7dfd05ef230ca8b3d0627f5c0e4cbcefde82cc392925a1d6b2b41db93d21f813,960,551,,,,False,LIKELY_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LIKELY_NEAR_DUPLICATE,Likely near-duplicate requires human decision
