new_image,new_species,new_parent_class,existing_image,existing_class,existing_split,phash_distance,dhash_distance,previous_classification,ahash_distance,aspect_ratio_delta,pixel_correlation,ssim,color_histogram_correlation,orb_ratio_matches,orb_ransac_inliers,orb_inlier_ratio,final_classification,evidence,near_duplicate_status
Non-Venomous/Banded Racer/03000025388_01_f.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/03000025388_01_f.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.333008,0.999275,0.994669,0.998561,42,42,1.0,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.3330; pixel_corr=0.9993; SSIM=0.9947; hist_corr=0.9986; ORB_good=42; ORB_inliers=42; ORB_inlier_ratio=1.0000,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/03000025388_01_f.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/96.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.333008,0.994911,0.960441,0.990054,35,33,0.942857,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.3330; pixel_corr=0.9949; SSIM=0.9604; hist_corr=0.9901; ORB_good=35; ORB_inliers=33; ORB_inlier_ratio=0.9429,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/03000026774_01_f.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/03000026774_01_f.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.25,0.998974,0.997116,0.996084,49,48,0.979592,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.2500; pixel_corr=0.9990; SSIM=0.9971; hist_corr=0.9961; ORB_good=49; ORB_inliers=48; ORB_inlier_ratio=0.9796,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/03000026774_01_f.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/17.jpg,Non_Venomous_Snake,TRAIN,0,1,HIGH_CONFIDENCE_NEAR_DUPLICATE,1,0.25,0.991695,0.977218,0.986043,36,35,0.972222,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=1; aHash=1; aspect_delta=0.2500; pixel_corr=0.9917; SSIM=0.9772; hist_corr=0.9860; ORB_good=36; ORB_inliers=35; ORB_inlier_ratio=0.9722,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/0835.jpeg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/0835.jpg,Non_Venomous_Snake,TRAIN,0,1,HIGH_CONFIDENCE_NEAR_DUPLICATE,5,0.333333,0.741429,0.547684,0.997271,42,36,0.857143,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=1; aHash=5; aspect_delta=0.3333; pixel_corr=0.7414; SSIM=0.5477; hist_corr=0.9973; ORB_good=42; ORB_inliers=36; ORB_inlier_ratio=0.8571,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/1274635783_6d04848eae.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/1274635783_6d04848eae.jpg,Non_Venomous_Snake,TRAIN,0,1,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.458,0.99914,0.996181,0.999821,15,9,0.6,LIKELY_NEAR_DUPLICATE,pHash=0; dHash=1; aHash=0; aspect_delta=0.4580; pixel_corr=0.9991; SSIM=0.9962; hist_corr=0.9998; ORB_good=15; ORB_inliers=9; ORB_inlier_ratio=0.6000,POSSIBLE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/1474639691IMG_9870.JPG,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/1474639691IMG_9870.JPG,Non_Venomous_Snake,TRAIN,0,1,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.333333,0.999093,0.997928,0.999667,39,34,0.871795,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=1; aHash=0; aspect_delta=0.3333; pixel_corr=0.9991; SSIM=0.9979; hist_corr=0.9997; ORB_good=39; ORB_inliers=34; ORB_inlier_ratio=0.8718,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/1886.jpeg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/1886.jpg,Non_Venomous_Snake,TRAIN,2,3,POSSIBLE_NEAR_DUPLICATE,2,0.297333,0.731761,0.610081,0.991358,89,88,0.988764,CONFIRMED_NEAR_DUPLICATE,pHash=2; dHash=3; aHash=2; aspect_delta=0.2973; pixel_corr=0.7318; SSIM=0.6101; hist_corr=0.9914; ORB_good=89; ORB_inliers=88; ORB_inlier_ratio=0.9888,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/1886.jpeg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/42.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,1,0.297333,0.994541,0.986017,0.986936,100,100,1.0,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=1; aspect_delta=0.2973; pixel_corr=0.9945; SSIM=0.9860; hist_corr=0.9869; ORB_good=100; ORB_inliers=100; ORB_inlier_ratio=1.0000,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/1887.jpeg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/1887.jpg,Non_Venomous_Snake,TRAIN,2,4,POSSIBLE_NEAR_DUPLICATE,4,0.288,0.748862,0.527058,0.99057,83,83,1.0,CONFIRMED_NEAR_DUPLICATE,pHash=2; dHash=4; aHash=4; aspect_delta=0.2880; pixel_corr=0.7489; SSIM=0.5271; hist_corr=0.9906; ORB_good=83; ORB_inliers=83; ORB_inlier_ratio=1.0000,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/1887.jpeg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/54.jpg,Non_Venomous_Snake,TRAIN,4,5,POSSIBLE_NEAR_DUPLICATE,5,0.288,0.456042,0.203092,0.983366,66,64,0.969697,CONFIRMED_NEAR_DUPLICATE,pHash=4; dHash=5; aHash=5; aspect_delta=0.2880; pixel_corr=0.4560; SSIM=0.2031; hist_corr=0.9834; ORB_good=66; ORB_inliers=64; ORB_inlier_ratio=0.9697,HIGH_CONFIDENCE_NEAR_DUPLICATE
