model,scope,count,mean_confidence,median_confidence,mean_margin,median_margin
V1,all,545,0.9682320382616936,0.9999572038650513,0.9373746414589368,0.9999144669527595
V1,correct,520,0.9757707540805524,0.9999765753746033,0.9517880209799504,0.9999607233608003
V1,incorrect,25,0.8114267492294311,0.8623815774917603,0.6375763474218548,0.7295212596654892
V1,Venomous_Snake,141,0.9541844391653723,0.9984764456748962,0.9108888610118169,0.9969544707564637
V1,Non_Venomous_Snake,128,0.9226100067608058,0.9866991341114044,0.8452714778998214,0.973398428875953
V1,snake_errors,21,0.8061452224141076,0.8438819050788879,0.6245755729531604,0.6877645403146744
V2,all,545,0.9598856067438738,0.9999518394470215,0.920113327714994,0.9999036742847238
V2,correct,514,0.9697901947489045,0.9999792575836182,0.939657520726825,0.9999592220683553
V2,incorrect,31,0.7956611475636882,0.787201464176178,0.5960579984220525,0.5744030475616455
V2,Venomous_Snake,141,0.9561643300327003,0.9991161227226257,0.91285034379102,0.9982323362492025
V2,Non_Venomous_Snake,128,0.8847322543151677,0.9511823952198029,0.7695310591013307,0.9023693390190601
V2,snake_errors,27,0.7821746932135688,0.7864259481430054,0.5667452065757027,0.572852224111557
