species,parent_class,split,source_group,count,percentage_of_parent_class
Banded Racer,Non-Venomous,train,NEW_SOURCE_GROUP_0001,1,1.2195121951219512
Banded Racer,Non-Venomous,validation,NEW_SOURCE_GROUP_0002,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0003,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0004,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0005,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0006,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0007,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0010,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0011,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0012,2,2.4390243902439024
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0014,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0015,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0016,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0017,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0018,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0019,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0020,1,1.2195121951219512
Checkered Keelback,Non-Venomous,train,NEW_SOURCE_GROUP_0021,1,1.2195121951219512
Checkered Keelback,Non-Venomous,validation,NEW_SOURCE_GROUP_0008,1,1.2195121951219512
Checkered Keelback,Non-Venomous,validation,NEW_SOURCE_GROUP_0009,1,1.2195121951219512
