video_id,source_type,relative_path,filename,file_extension,file_size_bytes,sha256,duration_seconds,fps,frame_count,width,height,opencv_readable,current_class,verification_status,species_common_name,species_scientific_name,species_verification_source,venom_status_verification_source,license_verification_status,eligible_for_dataset,exclusion_reason,source_group_id,sampled_frames,sample_decode_failures,notes
USER_001,user_collected,source_videos/user_collected/Unverified/20220401_203326.avi,20220401_203326.avi,.avi,12572834,ba8963935b27e2b0de3bd6f4870e3041524a7f14758aea2447a70fe2e2610ead,13.700000,30.000000,411,1080,1920,YES,Unverified,UNVERIFIED,,,,,UNVERIFIED,NO,LABEL_NOT_VERIFIED,snake_source_group_001,14,1,
USER_002,user_collected,source_videos/user_collected/Unverified/20220401_203405.avi,20220401_203405.avi,.avi,5144676,60224d2e08aacb3fae9e7670e647b2998588a39caf478f654c6fb682864c231f,5.833333,30.000000,175,1080,1920,YES,Unverified,UNVERIFIED,,,,,UNVERIFIED,NO,LABEL_NOT_VERIFIED,snake_source_group_002,7,0,
USER_003,user_collected,source_videos/user_collected/Unverified/20220401_203414.avi,20220401_203414.avi,.avi,8808602,474ced09eee8b6632fd8d2f40ec61f318493468715857f8ffe8afbcc9be8a861,7.533333,30.000000,226,1080,1920,YES,Unverified,UNVERIFIED,,,,,UNVERIFIED,NO,LABEL_NOT_VERIFIED,snake_source_group_003,9,0,
USER_004,user_collected,source_videos/user_collected/Unverified/20220401_203425.avi,20220401_203425.avi,.avi,6258320,46b614aec7b56b1f7eabd0e056454fa95cd9c346b8328b668d82194a704ae9b4,6.533333,30.000000,196,1080,1920,YES,Unverified,UNVERIFIED,,,,,UNVERIFIED,NO,LABEL_NOT_VERIFIED,snake_source_group_004,8,0,
USER_005,user_collected,source_videos/user_collected/Unverified/20220401_203438.avi,20220401_203438.avi,.avi,4296388,d8be9ba43a7a96c3f9a324b28259fc96762bfe15fcb83f676e129f2b0dde8a98,6.233333,30.000000,187,1080,1920,YES,Unverified,UNVERIFIED,,,,,UNVERIFIED,NO,LABEL_NOT_VERIFIED,snake_source_group_005,7,1,
USER_006,user_collected,source_videos/user_collected/Unverified/20220401_203450.avi,20220401_203450.avi,.avi,6789904,494b648e9cb17192185655a8880c240902116402a50256b1da605afe5c8c33ba,7.200000,30.000000,216,1080,1920,YES,Unverified,UNVERIFIED,,,,,UNVERIFIED,NO,LABEL_NOT_VERIFIED,snake_source_group_006,9,0,
USER_007,user_collected,source_videos/user_collected/Unverified/20220401_203505.avi,20220401_203505.avi,.avi,5949872,504d88af6f90df8db56e72ec09078119d7d5d56f4feac65f3d2b112c77781976,7.566667,30.000000,227,1080,1920,YES,Unverified,UNVERIFIED,,,,,UNVERIFIED,NO,LABEL_NOT_VERIFIED,snake_source_group_007,9,0,
USER_008,user_collected,source_videos/user_collected/Unverified/20220401_203516.avi,20220401_203516.avi,.avi,3603746,1e58e1cd97232b5e8f2ee0fa32dc77c5ccb198942a053a6d97bbba6115baeec0,4.766667,30.000000,143,1080,1920,YES,Unverified,UNVERIFIED,,,,,UNVERIFIED,NO,LABEL_NOT_VERIFIED,snake_source_group_008,6,0,
USER_009,user_collected,source_videos/user_collected/Unverified/20220401_203525.avi,20220401_203525.avi,.avi,8094904,270899e511260d971d27b3a00fd37aded27d0377112a1d663ddf5e12961e7b18,11.166667,30.000000,335,1080,1920,YES,Unverified,UNVERIFIED,,,,,UNVERIFIED,NO,LABEL_NOT_VERIFIED,snake_source_group_009,12,1,
USER_010,user_collected,source_videos/user_collected/Unverified/20220401_203629.avi,20220401_203629.avi,.avi,2706856,f277084fe624c5f7d463e8331d9e3ac3bdf537a06f48efafdb4a06f70719b963,4.700000,30.000000,141,1080,1920,YES,Unverified,UNVERIFIED,,,,,UNVERIFIED,NO,LABEL_NOT_VERIFIED,snake_source_group_010,5,1,
