video_id,source_type,relative_path,filename,current_class,reason,verification_evidence,recommended_action,review_status
USER_001,user_collected,source_videos/user_collected/Unverified/20220401_203326.avi,20220401_203326.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_002,user_collected,source_videos/user_collected/Unverified/20220401_203405.avi,20220401_203405.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_003,user_collected,source_videos/user_collected/Unverified/20220401_203414.avi,20220401_203414.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_004,user_collected,source_videos/user_collected/Unverified/20220401_203425.avi,20220401_203425.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_005,user_collected,source_videos/user_collected/Unverified/20220401_203438.avi,20220401_203438.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_006,user_collected,source_videos/user_collected/Unverified/20220401_203450.avi,20220401_203450.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_007,user_collected,source_videos/user_collected/Unverified/20220401_203505.avi,20220401_203505.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_008,user_collected,source_videos/user_collected/Unverified/20220401_203516.avi,20220401_203516.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_009,user_collected,source_videos/user_collected/Unverified/20220401_203525.avi,20220401_203525.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_010,user_collected,source_videos/user_collected/Unverified/20220401_203629.avi,20220401_203629.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_011,user_collected,source_videos/user_collected/Unverified/20220401_203637.avi,20220401_203637.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_012,user_collected,source_videos/user_collected/Unverified/20220401_203647.avi,20220401_203647.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_013,user_collected,source_videos/user_collected/Unverified/20220401_203704.avi,20220401_203704.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_014,user_collected,source_videos/user_collected/Unverified/20220401_203718.avi,20220401_203718.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_015,user_collected,source_videos/user_collected/Unverified/20220401_203755.avi,20220401_203755.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_016,user_collected,source_videos/user_collected/Unverified/20220401_203808.avi,20220401_203808.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_017,user_collected,source_videos/user_collected/Unverified/20220401_203927.avi,20220401_203927.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_018,user_collected,source_videos/user_collected/Unverified/20220401_203937.avi,20220401_203937.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_019,user_collected,source_videos/user_collected/Unverified/20220401_203956.avi,20220401_203956.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_020,user_collected,source_videos/user_collected/Unverified/20220401_204011.avi,20220401_204011.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_021,user_collected,source_videos/user_collected/Unverified/20220401_204031.avi,20220401_204031.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_022,user_collected,source_videos/user_collected/Unverified/20220401_204404.avi,20220401_204404.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_023,user_collected,source_videos/user_collected/Unverified/3D-Methods-Deinagkistrodon-acutus_STV1747-0001-HR.mp4,3D-Methods-Deinagkistrodon-acutus_STV1747-0001-HR.mp4,Venomous_Snake,LICENSE_NOT_VERIFIED,Exact scientific-video ID matched a Journal of Experimental Biology supplement; reuse rights for this local copy still require confirmation.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_024,user_collected,source_videos/user_collected/Unverified/Aspidelaps-lubricus_STV1808-0007-3A-label-HR.mp4,Aspidelaps-lubricus_STV1808-0007-3A-label-HR.mp4,Venomous_Snake,LICENSE_NOT_VERIFIED,Exact scientific-video ID matched a Journal of Experimental Biology supplement; reuse rights for this local copy still require confirmation.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_025,user_collected,source_videos/user_collected/Unverified/Bitis-nasicornis_STV1757-0027-3A-label-HR.mp4,Bitis-nasicornis_STV1757-0027-3A-label-HR.mp4,Venomous_Snake,LICENSE_NOT_VERIFIED,Exact scientific-video ID matched a Journal of Experimental Biology supplement; reuse rights for this local copy still require confirmation.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_026,user_collected,source_videos/user_collected/Unverified/Crotalus-atrox_STV1637-0021-5A-label-HR.mp4,Crotalus-atrox_STV1637-0021-5A-label-HR.mp4,Venomous_Snake,LICENSE_NOT_VERIFIED,Exact scientific-video ID matched a Journal of Experimental Biology supplement; reuse rights for this local copy still require confirmation.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_027,user_collected,source_videos/user_collected/Unverified/Deinagkistrodon-acutus_STV1747-0001_2A-label-HR.mp4,Deinagkistrodon-acutus_STV1747-0001_2A-label-HR.mp4,Venomous_Snake,LICENSE_NOT_VERIFIED,Exact scientific-video ID matched a Journal of Experimental Biology supplement; reuse rights for this local copy still require confirmation.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_028,user_collected,source_videos/user_collected/Unverified/Echis-ocellatus_STV1545-0028-3A-label-HR.mp4,Echis-ocellatus_STV1545-0028-3A-label-HR.mp4,Venomous_Snake,LICENSE_NOT_VERIFIED,Exact scientific-video ID matched a Journal of Experimental Biology supplement; reuse rights for this local copy still require confirmation.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_029,user_collected,source_videos/user_collected/Unverified/Macrovipera-lebetina_STV1608-0010-1A-label-HR.mp4,Macrovipera-lebetina_STV1608-0010-1A-label-HR.mp4,Venomous_Snake,LICENSE_NOT_VERIFIED,Exact scientific-video ID matched a Journal of Experimental Biology supplement; reuse rights for this local copy still require confirmation.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
