filename,source_recovered,original_source_url,original_title,species_common_name,species_scientific_name,species_verification_status,species_verification_source,venom_status,venom_status_source,assigned_class,license_status,license_evidence,eligible_for_dataset,confidence_of_provenance,manual_review_required,notes
20220401_203326.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203405.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203414.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203425.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203438.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203450.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203505.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203516.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203525.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203629.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203637.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203647.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203704.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203718.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203755.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203808.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203927.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203937.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_203956.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_204011.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_204031.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
20220401_204404.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Timestamp-style filename only; no source reference found in project records or public exact-name search.
3D-Methods-Deinagkistrodon-acutus_STV1747-0001-HR.mp4,YES,https://doi.org/10.26180/29624891.v2,"High speed videos of snake strikes for ""Kinematics of strikes in venomous snakes""",Hundred-pace viper,Deinagkistrodon acutus,VERIFIED,https://doi.org/10.26180/29624891.v2,VENOMOUS,https://pmc.ncbi.nlm.nih.gov/articles/PMC12582407/,Venomous_Snake,REVIEW,CC BY-NC-ND 4.0 (https://creativecommons.org/licenses/by-nc-nd/4.0/); training reuse not assumed.,REVIEW,HIGH,YES,Exact filename and byte-size match; license eligibility requires a human/legal decision.
Aspidelaps-lubricus_STV1808-0007-3A-label-HR.mp4,YES,https://doi.org/10.26180/29624891.v2,"High speed videos of snake strikes for ""Kinematics of strikes in venomous snakes""",Cape coral snake,Aspidelaps lubricus,VERIFIED,https://doi.org/10.26180/29624891.v2,VENOMOUS,https://pmc.ncbi.nlm.nih.gov/articles/PMC12582407/,Venomous_Snake,REVIEW,CC BY-NC-ND 4.0 (https://creativecommons.org/licenses/by-nc-nd/4.0/); training reuse not assumed.,REVIEW,HIGH,YES,Exact filename and byte-size match; license eligibility requires a human/legal decision.
Bitis-nasicornis_STV1757-0027-3A-label-HR.mp4,YES,https://doi.org/10.26180/29624891.v2,"High speed videos of snake strikes for ""Kinematics of strikes in venomous snakes""",Rhinoceros viper,Bitis nasicornis,VERIFIED,https://doi.org/10.26180/29624891.v2,VENOMOUS,https://pmc.ncbi.nlm.nih.gov/articles/PMC12582407/,Venomous_Snake,REVIEW,CC BY-NC-ND 4.0 (https://creativecommons.org/licenses/by-nc-nd/4.0/); training reuse not assumed.,REVIEW,HIGH,YES,Exact filename and byte-size match; license eligibility requires a human/legal decision.
Crotalus-atrox_STV1637-0021-5A-label-HR.mp4,YES,https://doi.org/10.26180/29624891.v2,"High speed videos of snake strikes for ""Kinematics of strikes in venomous snakes""",Western diamondback rattlesnake,Crotalus atrox,VERIFIED,https://doi.org/10.26180/29624891.v2,VENOMOUS,https://pmc.ncbi.nlm.nih.gov/articles/PMC12582407/,Venomous_Snake,REVIEW,CC BY-NC-ND 4.0 (https://creativecommons.org/licenses/by-nc-nd/4.0/); training reuse not assumed.,REVIEW,HIGH,YES,Exact filename and byte-size match; license eligibility requires a human/legal decision.
Deinagkistrodon-acutus_STV1747-0001_2A-label-HR.mp4,YES,https://doi.org/10.26180/29624891.v2,"High speed videos of snake strikes for ""Kinematics of strikes in venomous snakes""",Hundred-pace viper,Deinagkistrodon acutus,VERIFIED,https://doi.org/10.26180/29624891.v2,VENOMOUS,https://pmc.ncbi.nlm.nih.gov/articles/PMC12582407/,Venomous_Snake,REVIEW,CC BY-NC-ND 4.0 (https://creativecommons.org/licenses/by-nc-nd/4.0/); training reuse not assumed.,REVIEW,HIGH,YES,Exact filename and byte-size match; license eligibility requires a human/legal decision.
Echis-ocellatus_STV1545-0028-3A-label-HR.mp4,YES,https://doi.org/10.26180/29624891.v2,"High speed videos of snake strikes for ""Kinematics of strikes in venomous snakes""",West African carpet viper,Echis ocellatus,VERIFIED,https://doi.org/10.26180/29624891.v2,VENOMOUS,https://pmc.ncbi.nlm.nih.gov/articles/PMC12582407/,Venomous_Snake,REVIEW,CC BY-NC-ND 4.0 (https://creativecommons.org/licenses/by-nc-nd/4.0/); training reuse not assumed.,REVIEW,HIGH,YES,Exact filename and byte-size match; license eligibility requires a human/legal decision.
Macrovipera-lebetina_STV1608-0010-1A-label-HR.mp4,YES,https://doi.org/10.26180/29624891.v2,"High speed videos of snake strikes for ""Kinematics of strikes in venomous snakes""",Blunt-nosed viper,Macrovipera lebetina,VERIFIED,https://doi.org/10.26180/29624891.v2,VENOMOUS,https://pmc.ncbi.nlm.nih.gov/articles/PMC12582407/,Venomous_Snake,REVIEW,CC BY-NC-ND 4.0 (https://creativecommons.org/licenses/by-nc-nd/4.0/); training reuse not assumed.,REVIEW,HIGH,YES,Exact filename and byte-size match; license eligibility requires a human/legal decision.
Macrovipera-lebetina_STV1608-0010-7A-label-HR.mp4,YES,https://doi.org/10.26180/29624891.v2,"High speed videos of snake strikes for ""Kinematics of strikes in venomous snakes""",Blunt-nosed viper,Macrovipera lebetina,VERIFIED,https://doi.org/10.26180/29624891.v2,VENOMOUS,https://pmc.ncbi.nlm.nih.gov/articles/PMC12582407/,Venomous_Snake,REVIEW,CC BY-NC-ND 4.0 (https://creativecommons.org/licenses/by-nc-nd/4.0/); training reuse not assumed.,REVIEW,HIGH,YES,Exact filename and byte-size match; license eligibility requires a human/legal decision.
TE1-003--2021-10-20--11-22-11.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Camera identifier and timestamp only; exact identifier searches found no credible snake source.
TE1-012--2021-09-27--11-41-04.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Camera identifier and timestamp only; exact identifier searches found no credible snake source.
TE1-012--2021-10-20--09-54-49.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Camera identifier and timestamp only; exact identifier searches found no credible snake source.
TE1-027--2021-03-16--12-38-46.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Camera identifier and timestamp only; exact identifier searches found no credible snake source.
TE1-042--2021-04-09--01-01-00.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Camera identifier and timestamp only; exact identifier searches found no credible snake source.
TE1-042--2021-09-02--20-07-17.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Camera identifier and timestamp only; exact identifier searches found no credible snake source.
TE1-047--2021-02-26--16-31-22.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Camera identifier and timestamp only; exact identifier searches found no credible snake source.
TE1-047--2021-02-26--16-32-00.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Camera identifier and timestamp only; exact identifier searches found no credible snake source.
TE1-047--2021-02-26--16-32-13.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Camera identifier and timestamp only; exact identifier searches found no credible snake source.
TE1-047--2021-02-26--16-32-25.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Camera identifier and timestamp only; exact identifier searches found no credible snake source.
TE1-047--2021-02-26--16-33-38.avi,NO,,,,,UNVERIFIED,,UNVERIFIED,,Unverified,UNKNOWN,,NO,LOW,YES,Camera identifier and timestamp only; exact identifier searches found no credible snake source.
Toxicodryas-pulverulenta_STV1810-0001-2A-label-HR.mp4,YES,https://doi.org/10.26180/29624891.v2,"High speed videos of snake strikes for ""Kinematics of strikes in venomous snakes""",Fischer's cat snake,Toxicodryas pulverulenta,VERIFIED,https://doi.org/10.26180/29624891.v2,VENOMOUS,https://pmc.ncbi.nlm.nih.gov/articles/PMC12582407/,Venomous_Snake,REVIEW,CC BY-NC-ND 4.0 (https://creativecommons.org/licenses/by-nc-nd/4.0/); training reuse not assumed.,REVIEW,HIGH,YES,Exact filename and byte-size match; license eligibility requires a human/legal decision.
Vipera-ammodytes_STV1447-0133-3A-label-HR.mp4,YES,https://doi.org/10.26180/29624891.v2,"High speed videos of snake strikes for ""Kinematics of strikes in venomous snakes""",Nose-horned viper,Vipera ammodytes,VERIFIED,https://doi.org/10.26180/29624891.v2,VENOMOUS,https://pmc.ncbi.nlm.nih.gov/articles/PMC12582407/,Venomous_Snake,REVIEW,CC BY-NC-ND 4.0 (https://creativecommons.org/licenses/by-nc-nd/4.0/); training reuse not assumed.,REVIEW,HIGH,YES,Exact filename and byte-size match; license eligibility requires a human/legal decision.
