video_a,video_b,sha256_a,sha256_b,duration_a,duration_b,duplicate_type,similarity_score,decision,canonical_video,excluded_video,source_group_id,reason,manual_review_required
laticauda_colubrina_samal.webm,laticauda_colubrina_fiji_feeding.webm,536a4aa97123c549b1d6dad3e5dfc24fbfa1343e73b484a271e46c01c4599b3c,231f8d52f5a53b32a985fd2d275071a5ecd0c5603de904cc718d4364dc732d49,136.344542,63.096367,UNIQUE,0.518066,KEEP_BOTH,,,,aligned=0.518066; partial=0.000000,NO
laticauda_colubrina_samal.webm,pseudocerastes_urarachnoides_iran.webm,536a4aa97123c549b1d6dad3e5dfc24fbfa1343e73b484a271e46c01c4599b3c,6814632a9a62e6c68c593253b453ccd9792df4b920450084d2271740087154e4,136.344542,48.480000,UNIQUE,0.486478,KEEP_BOTH,,,,aligned=0.486478; partial=0.000000,NO
laticauda_colubrina_samal.webm,crotalus_horridus_pennsylvania.webm,536a4aa97123c549b1d6dad3e5dfc24fbfa1343e73b484a271e46c01c4599b3c,cf668d0677dbbd8f14c29062815201b689e9c2b0668637e773615912a9aff929,136.344542,21.254567,UNIQUE,0.492898,KEEP_BOTH,,,,aligned=0.492898; partial=0.000000,NO
laticauda_colubrina_samal.webm,thamnophis_cyrtopsis_arizona.webm,536a4aa97123c549b1d6dad3e5dfc24fbfa1343e73b484a271e46c01c4599b3c,afb3dc424d964b1003a38150ecdbc4f7b048da272b13b239472973514481d7a2,136.344542,90.023267,UNIQUE,0.519043,KEEP_BOTH,,,,aligned=0.519043; partial=0.000000,NO
laticauda_colubrina_samal.webm,natrix_tessellata_montenegro.webm,536a4aa97123c549b1d6dad3e5dfc24fbfa1343e73b484a271e46c01c4599b3c,b6f7103453fb60352309b4cdef26f4434e0dab856960526b6bcc387b59c80223,136.344542,13.040000,UNIQUE,0.520089,KEEP_BOTH,,,,aligned=0.520089; partial=0.000000,NO
laticauda_colubrina_samal.webm,elaphe_climacophora_japan.webm,536a4aa97123c549b1d6dad3e5dfc24fbfa1343e73b484a271e46c01c4599b3c,78328983a941f24483ebedea1005183d8429586d6a19c66b0af8ade30c3bd9a0,136.344542,20.520500,UNIQUE,0.488932,KEEP_BOTH,,,,aligned=0.488932; partial=0.000000,NO
laticauda_colubrina_samal.webm,python_regius_zoo.webm,536a4aa97123c549b1d6dad3e5dfc24fbfa1343e73b484a271e46c01c4599b3c,babc3e7bef3c3d3ef4b088ef365ba137dd858ee48770913baae7d9533a385f2b,136.344542,53.136417,UNIQUE,0.499711,KEEP_BOTH,,,,aligned=0.499711; partial=0.000000,NO
laticauda_colubrina_fiji_feeding.webm,pseudocerastes_urarachnoides_iran.webm,231f8d52f5a53b32a985fd2d275071a5ecd0c5603de904cc718d4364dc732d49,6814632a9a62e6c68c593253b453ccd9792df4b920450084d2271740087154e4,63.096367,48.480000,UNIQUE,0.489483,KEEP_BOTH,,,,aligned=0.489483; partial=0.000000,NO
laticauda_colubrina_fiji_feeding.webm,crotalus_horridus_pennsylvania.webm,231f8d52f5a53b32a985fd2d275071a5ecd0c5603de904cc718d4364dc732d49,cf668d0677dbbd8f14c29062815201b689e9c2b0668637e773615912a9aff929,63.096367,21.254567,UNIQUE,0.506392,KEEP_BOTH,,,,aligned=0.506392; partial=0.000000,NO
laticauda_colubrina_fiji_feeding.webm,thamnophis_cyrtopsis_arizona.webm,231f8d52f5a53b32a985fd2d275071a5ecd0c5603de904cc718d4364dc732d49,afb3dc424d964b1003a38150ecdbc4f7b048da272b13b239472973514481d7a2,63.096367,90.023267,UNIQUE,0.499512,KEEP_BOTH,,,,aligned=0.499512; partial=0.000000,NO
laticauda_colubrina_fiji_feeding.webm,natrix_tessellata_montenegro.webm,231f8d52f5a53b32a985fd2d275071a5ecd0c5603de904cc718d4364dc732d49,b6f7103453fb60352309b4cdef26f4434e0dab856960526b6bcc387b59c80223,63.096367,13.040000,UNIQUE,0.518973,KEEP_BOTH,,,,aligned=0.518973; partial=0.000000,NO
laticauda_colubrina_fiji_feeding.webm,elaphe_climacophora_japan.webm,231f8d52f5a53b32a985fd2d275071a5ecd0c5603de904cc718d4364dc732d49,78328983a941f24483ebedea1005183d8429586d6a19c66b0af8ade30c3bd9a0,63.096367,20.520500,UNIQUE,0.541667,KEEP_BOTH,,,,aligned=0.541667; partial=0.000000,NO
laticauda_colubrina_fiji_feeding.webm,python_regius_zoo.webm,231f8d52f5a53b32a985fd2d275071a5ecd0c5603de904cc718d4364dc732d49,babc3e7bef3c3d3ef4b088ef365ba137dd858ee48770913baae7d9533a385f2b,63.096367,53.136417,UNIQUE,0.509838,KEEP_BOTH,,,,aligned=0.509838; partial=0.000000,NO
pseudocerastes_urarachnoides_iran.webm,crotalus_horridus_pennsylvania.webm,6814632a9a62e6c68c593253b453ccd9792df4b920450084d2271740087154e4,cf668d0677dbbd8f14c29062815201b689e9c2b0668637e773615912a9aff929,48.480000,21.254567,UNIQUE,0.541903,KEEP_BOTH,,,,aligned=0.541903; partial=0.000000,NO
pseudocerastes_urarachnoides_iran.webm,thamnophis_cyrtopsis_arizona.webm,6814632a9a62e6c68c593253b453ccd9792df4b920450084d2271740087154e4,afb3dc424d964b1003a38150ecdbc4f7b048da272b13b239472973514481d7a2,48.480000,90.023267,UNIQUE,0.496695,KEEP_BOTH,,,,aligned=0.496695; partial=0.000000,NO
pseudocerastes_urarachnoides_iran.webm,natrix_tessellata_montenegro.webm,6814632a9a62e6c68c593253b453ccd9792df4b920450084d2271740087154e4,b6f7103453fb60352309b4cdef26f4434e0dab856960526b6bcc387b59c80223,48.480000,13.040000,UNIQUE,0.468750,KEEP_BOTH,,,,aligned=0.468750; partial=0.000000,NO
pseudocerastes_urarachnoides_iran.webm,elaphe_climacophora_japan.webm,6814632a9a62e6c68c593253b453ccd9792df4b920450084d2271740087154e4,78328983a941f24483ebedea1005183d8429586d6a19c66b0af8ade30c3bd9a0,48.480000,20.520500,UNIQUE,0.507161,KEEP_BOTH,,,,aligned=0.507161; partial=0.000000,NO
pseudocerastes_urarachnoides_iran.webm,python_regius_zoo.webm,6814632a9a62e6c68c593253b453ccd9792df4b920450084d2271740087154e4,babc3e7bef3c3d3ef4b088ef365ba137dd858ee48770913baae7d9533a385f2b,48.480000,53.136417,UNIQUE,0.482572,KEEP_BOTH,,,,aligned=0.482572; partial=0.000000,NO
crotalus_horridus_pennsylvania.webm,thamnophis_cyrtopsis_arizona.webm,cf668d0677dbbd8f14c29062815201b689e9c2b0668637e773615912a9aff929,afb3dc424d964b1003a38150ecdbc4f7b048da272b13b239472973514481d7a2,21.254567,90.023267,UNIQUE,0.519886,KEEP_BOTH,,,,aligned=0.519886; partial=0.000000,NO
crotalus_horridus_pennsylvania.webm,natrix_tessellata_montenegro.webm,cf668d0677dbbd8f14c29062815201b689e9c2b0668637e773615912a9aff929,b6f7103453fb60352309b4cdef26f4434e0dab856960526b6bcc387b59c80223,21.254567,13.040000,UNIQUE,0.530134,KEEP_BOTH,,,,aligned=0.530134; partial=0.000000,NO
crotalus_horridus_pennsylvania.webm,elaphe_climacophora_japan.webm,cf668d0677dbbd8f14c29062815201b689e9c2b0668637e773615912a9aff929,78328983a941f24483ebedea1005183d8429586d6a19c66b0af8ade30c3bd9a0,21.254567,20.520500,UNIQUE,0.534801,KEEP_BOTH,,,,aligned=0.534801; partial=0.000000,NO
crotalus_horridus_pennsylvania.webm,python_regius_zoo.webm,cf668d0677dbbd8f14c29062815201b689e9c2b0668637e773615912a9aff929,babc3e7bef3c3d3ef4b088ef365ba137dd858ee48770913baae7d9533a385f2b,21.254567,53.136417,UNIQUE,0.509233,KEEP_BOTH,,,,aligned=0.509233; partial=0.000000,NO
thamnophis_cyrtopsis_arizona.webm,natrix_tessellata_montenegro.webm,afb3dc424d964b1003a38150ecdbc4f7b048da272b13b239472973514481d7a2,b6f7103453fb60352309b4cdef26f4434e0dab856960526b6bcc387b59c80223,90.023267,13.040000,UNIQUE,0.523438,KEEP_BOTH,,,,aligned=0.523438; partial=0.000000,NO
thamnophis_cyrtopsis_arizona.webm,elaphe_climacophora_japan.webm,afb3dc424d964b1003a38150ecdbc4f7b048da272b13b239472973514481d7a2,78328983a941f24483ebedea1005183d8429586d6a19c66b0af8ade30c3bd9a0,90.023267,20.520500,UNIQUE,0.491536,KEEP_BOTH,,,,aligned=0.491536; partial=0.000000,NO
thamnophis_cyrtopsis_arizona.webm,python_regius_zoo.webm,afb3dc424d964b1003a38150ecdbc4f7b048da272b13b239472973514481d7a2,babc3e7bef3c3d3ef4b088ef365ba137dd858ee48770913baae7d9533a385f2b,90.023267,53.136417,UNIQUE,0.498843,KEEP_BOTH,,,,aligned=0.498843; partial=0.000000,NO
natrix_tessellata_montenegro.webm,elaphe_climacophora_japan.webm,b6f7103453fb60352309b4cdef26f4434e0dab856960526b6bcc387b59c80223,78328983a941f24483ebedea1005183d8429586d6a19c66b0af8ade30c3bd9a0,13.040000,20.520500,UNIQUE,0.518973,KEEP_BOTH,,,,aligned=0.518973; partial=0.000000,NO
natrix_tessellata_montenegro.webm,python_regius_zoo.webm,b6f7103453fb60352309b4cdef26f4434e0dab856960526b6bcc387b59c80223,babc3e7bef3c3d3ef4b088ef365ba137dd858ee48770913baae7d9533a385f2b,13.040000,53.136417,UNIQUE,0.503348,KEEP_BOTH,,,,aligned=0.503348; partial=0.000000,NO
elaphe_climacophora_japan.webm,python_regius_zoo.webm,78328983a941f24483ebedea1005183d8429586d6a19c66b0af8ade30c3bd9a0,babc3e7bef3c3d3ef4b088ef365ba137dd858ee48770913baae7d9533a385f2b,20.520500,53.136417,UNIQUE,0.496745,KEEP_BOTH,,,,aligned=0.496745; partial=0.000000,NO
